output-path,option-source_path,option-expected_type,option-relevant_ctx,option-error_rounds_max,option-rag,option-temperature,start-time,tests-total,tests-pass,tests-indet,derived-time-elapsed,derived-percent-tests,derived-err-rounds-used,derived-total-tokens-used,derived-final-parses,derived-final-static-errors,derived-err-improve
full-prelude-4-2024-04-06T04:09:16.480Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376556.5,10,10,0,14.4,100.0,1,4584,true,0,-100.0
full-prelude-4-2024-04-06T04:09:08.404Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376548.4,10,10,0,7.3,100.0,0,2109,true,0,nan
full-prelude-4-2024-04-06T04:08:54.007Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376534.0,10,10,0,13.7,100.0,0,2096,true,0,nan
full-prelude-4-2024-04-06T04:08:43.053Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376523.1,10,10,0,10.1,100.0,0,2107,true,0,nan
full-prelude-4-2024-04-06T04:08:32.304Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376512.3,10,10,0,10.1,100.0,0,2109,true,0,nan
full-prelude-4-2024-04-06T04:08:24.622Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376504.6,10,10,0,6.9,100.0,0,2089,true,0,nan
full-prelude-4-2024-04-06T04:08:15.764Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376495.8,10,10,0,8.1,100.0,0,2109,true,0,nan
full-prelude-4-2024-04-06T04:07:58.930Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376478.9,10,10,0,16.1,100.0,1,4486,true,0,-100.0
full-prelude-4-2024-04-06T04:07:50.680Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376470.7,10,10,0,7.4,100.0,0,2107,true,0,nan
full-prelude-4-2024-04-06T04:07:35.623Z,testdata/booking2/,false,false,0,true,0.6,1712376455.6,8,1,7,14.3,12.5,0,2104,true,1,0.0
full-prelude-4-2024-04-06T04:07:25.336Z,testdata/booking2/,false,false,0,true,0.6,1712376445.4,8,0,8,9.5,0.0,0,2114,true,1,0.0
full-prelude-4-2024-04-06T04:07:18.269Z,testdata/booking2/,false,false,0,true,0.6,1712376438.3,8,1,7,6.4,12.5,0,2070,true,2,0.0
full-prelude-4-2024-04-06T04:07:08.410Z,testdata/booking2/,false,false,0,true,0.6,1712376428.5,8,1,0,9.1,12.5,0,2134,true,0,nan
full-prelude-4-2024-04-06T04:06:58.171Z,testdata/booking2/,false,false,0,true,0.6,1712376418.2,8,0,8,9.5,0.0,0,2077,true,1,0.0
full-prelude-4-2024-04-06T04:06:50.028Z,testdata/booking2/,false,false,0,true,0.6,1712376410.1,8,0,8,7.4,0.0,0,2118,true,1,0.0
full-prelude-4-2024-04-06T04:06:41.772Z,testdata/booking2/,false,false,0,true,0.6,1712376401.8,8,0,8,7.4,0.0,0,2080,true,1,0.0
full-prelude-4-2024-04-06T04:06:31.472Z,testdata/booking2/,false,false,0,true,0.6,1712376391.5,8,0,8,9.6,0.0,0,2086,true,1,0.0
full-prelude-4-2024-04-06T04:06:23.640Z,testdata/booking2/,false,false,0,true,0.6,1712376383.7,8,1,7,7.1,12.5,0,2070,true,3,0.0
full-prelude-4-2024-04-06T04:06:17.919Z,testdata/booking2/,false,false,0,true,0.6,1712376378.0,8,0,8,4.9,0.0,0,2063,true,1,0.0
full-prelude-4-2024-04-06T04:06:03.494Z,testdata/booking2/,false,false,2,true,0.6,1712376363.5,8,1,0,13.3,12.5,1,4411,true,0,-100.0
full-prelude-4-2024-04-06T04:05:53.540Z,testdata/booking2/,false,false,2,true,0.6,1712376353.7,8,6,0,8.7,75.0,0,2089,true,0,nan
full-prelude-4-2024-04-06T04:05:34.915Z,testdata/booking2/,false,false,2,true,0.6,1712376335.0,8,1,0,16.0,12.5,2,7029,true,0,-100.0
full-prelude-4-2024-04-06T04:05:27.455Z,testdata/booking2/,false,false,2,true,0.6,1712376327.5,8,6,0,6.4,75.0,0,2071,true,0,nan
full-prelude-4-2024-04-06T04:05:08.751Z,testdata/booking2/,false,false,2,true,0.6,1712376308.8,8,1,7,17.9,12.5,2,7109,true,1,0.0
full-prelude-4-2024-04-06T04:04:39.490Z,testdata/booking2/,false,false,2,true,0.6,1712376279.5,8,5,3,28.5,62.5,2,7269,true,1,-50.0
full-prelude-4-2024-04-06T04:04:23.655Z,testdata/booking2/,false,false,2,true,0.6,1712376263.7,8,1,0,15.1,12.5,2,7700,true,3,-40.0
full-prelude-4-2024-04-06T04:04:02.987Z,testdata/booking2/,false,false,2,true,0.6,1712376243.1,8,8,0,19.8,100.0,2,7338,true,1,0.0
full-prelude-4-2024-04-06T04:03:50.465Z,testdata/booking2/,false,false,2,true,0.6,1712376230.5,8,1,0,11.7,12.5,1,4430,true,0,-100.0
full-prelude-4-2024-04-06T04:03:36.489Z,testdata/booking2/,false,false,2,true,0.6,1712376216.5,8,8,0,13.2,100.0,1,4551,true,0,-100.0
full-prelude-4-2024-04-06T04:03:30.477Z,testdata/playlist1/,false,false,0,true,0.6,1712376210.5,15,10,3,5.3,66.7,0,1893,true,1,0.0
full-prelude-4-2024-04-06T04:03:20.667Z,testdata/playlist1/,false,false,0,true,0.6,1712376200.8,15,6,9,9.0,40.0,0,1947,true,4,0.0
full-prelude-4-2024-04-06T04:03:13.873Z,testdata/playlist1/,false,false,0,true,0.6,1712376193.9,15,0,15,5.9,0.0,0,1889,false,-1,-0.0
full-prelude-4-2024-04-06T04:03:08.788Z,testdata/playlist1/,false,false,0,true,0.6,1712376188.8,15,13,0,4.3,86.7,0,1890,true,0,nan
full-prelude-4-2024-04-06T04:03:03.294Z,testdata/playlist1/,false,false,0,true,0.6,1712376183.4,15,0,15,4.7,0.0,0,1881,false,-1,-0.0
full-prelude-4-2024-04-06T04:02:55.694Z,testdata/playlist1/,false,false,0,true,0.6,1712376175.7,15,10,3,6.8,66.7,0,1922,true,1,0.0
full-prelude-4-2024-04-06T04:02:50.463Z,testdata/playlist1/,false,false,0,true,0.6,1712376170.5,15,10,3,4.5,66.7,0,1893,true,1,0.0
full-prelude-4-2024-04-06T04:02:45.538Z,testdata/playlist1/,false,false,0,true,0.6,1712376165.6,15,10,3,4.1,66.7,0,1891,true,1,0.0
full-prelude-4-2024-04-06T04:02:40.850Z,testdata/playlist1/,false,false,0,true,0.6,1712376160.9,15,0,15,3.9,0.0,0,1872,false,-1,-0.0
full-prelude-4-2024-04-06T04:02:35.562Z,testdata/playlist1/,false,false,0,true,0.6,1712376155.6,15,0,15,4.6,0.0,0,1888,false,-1,-0.0
full-prelude-4-2024-04-06T04:02:17.977Z,testdata/playlist1/,false,false,2,true,0.6,1712376138.0,15,10,3,16.7,66.7,2,6191,true,1,-200.0
full-prelude-4-2024-04-06T04:02:05.167Z,testdata/playlist1/,false,false,2,true,0.6,1712376125.2,15,10,3,11.9,66.7,2,6118,true,1,0.0
full-prelude-4-2024-04-06T04:01:42.282Z,testdata/playlist1/,false,false,2,true,0.6,1712376102.4,15,13,0,21.9,86.7,2,6506,true,0,-100.0
full-prelude-4-2024-04-06T04:01:23.087Z,testdata/playlist1/,false,false,2,true,0.6,1712376083.1,15,13,0,18.4,86.7,2,6674,true,0,-100.0
full-prelude-4-2024-04-06T04:01:07.738Z,testdata/playlist1/,false,false,2,true,0.6,1712376067.8,15,13,0,14.4,86.7,1,4116,true,0,-100.0
full-prelude-4-2024-04-06T04:00:56.796Z,testdata/playlist1/,false,false,2,true,0.6,1712376056.8,15,13,0,10.2,86.7,1,3960,true,0,-100.0
full-prelude-4-2024-04-06T04:00:36.612Z,testdata/playlist1/,false,false,2,true,0.6,1712376036.6,15,13,0,19.4,86.7,2,6191,true,0,-100.0
full-prelude-4-2024-04-06T04:00:21.537Z,testdata/playlist1/,false,false,2,true,0.6,1712376021.6,15,12,0,14.1,80.0,1,4012,true,0,-100.0
full-prelude-4-2024-04-06T04:00:11.304Z,testdata/playlist1/,false,false,2,true,0.6,1712376011.3,15,13,0,9.4,86.7,1,3971,true,0,-100.0
full-prelude-4-2024-04-06T04:00:05.903Z,testdata/playlist1/,false,false,2,true,0.6,1712376005.9,15,13,0,4.7,86.7,0,1876,true,0,nan
full-prelude-4-2024-04-06T04:00:01.344Z,testdata/todo2/,false,false,0,true,0.6,1712376001.4,15,13,0,4.7,86.7,0,1876,true,0,nan
full-prelude-4-2024-04-06T03:59:54.412Z,testdata/todo2/,false,false,0,true,0.6,1712375994.4,12,9,0,6.1,75.0,0,1993,true,0,nan
full-prelude-4-2024-04-06T03:59:49.975Z,testdata/todo2/,false,false,0,true,0.6,1712375990.0,12,9,0,3.7,75.0,0,1989,true,0,nan
full-prelude-4-2024-04-06T03:59:44.156Z,testdata/todo2/,false,false,0,true,0.6,1712375984.2,12,1,11,5.0,8.3,0,1967,true,6,0.0
full-prelude-4-2024-04-06T03:59:37.517Z,testdata/todo2/,false,false,0,true,0.6,1712375977.5,12,9,0,6.0,75.0,0,1992,true,0,nan
full-prelude-4-2024-04-06T03:59:31.480Z,testdata/todo2/,false,false,0,true,0.6,1712375971.5,12,1,9,5.3,8.3,0,1955,true,1,0.0
full-prelude-4-2024-04-06T03:59:25.882Z,testdata/todo2/,false,false,0,true,0.6,1712375965.9,12,12,0,4.8,100.0,0,1992,true,0,nan
full-prelude-4-2024-04-06T03:59:21.348Z,testdata/todo2/,false,false,0,true,0.6,1712375961.4,12,7,5,3.8,58.3,0,1955,true,1,0.0
full-prelude-4-2024-04-06T03:59:13.280Z,testdata/todo2/,false,false,0,true,0.6,1712375953.3,12,12,0,7.2,100.0,0,1993,true,0,nan
full-prelude-4-2024-04-06T03:59:07.549Z,testdata/todo2/,false,false,0,true,0.6,1712375947.6,12,9,0,5.0,75.0,0,1991,true,0,nan
full-prelude-4-2024-04-06T03:59:01.389Z,testdata/todo2/,false,false,2,true,0.6,1712375941.4,12,12,0,5.5,100.0,1,4115,true,0,-100.0
full-prelude-4-2024-04-06T03:58:55.484Z,testdata/todo2/,false,false,2,true,0.6,1712375935.5,12,9,0,5.2,75.0,0,1989,true,0,nan
full-prelude-4-2024-04-06T03:58:49.393Z,testdata/todo2/,false,false,2,true,0.6,1712375929.4,12,12,0,5.4,100.0,0,1989,true,0,nan
full-prelude-4-2024-04-06T03:58:39.849Z,testdata/todo2/,false,false,2,true,0.6,1712375919.9,12,9,0,8.8,75.0,1,4134,true,0,-100.0
full-prelude-4-2024-04-06T03:58:33.930Z,testdata/todo2/,false,false,2,true,0.6,1712375913.9,12,9,0,5.3,75.0,0,1989,true,0,nan
full-prelude-4-2024-04-06T03:58:28.812Z,testdata/todo2/,false,false,2,true,0.6,1712375908.8,12,9,0,4.4,75.0,0,1961,true,0,nan
full-prelude-4-2024-04-06T03:58:19.053Z,testdata/todo2/,false,false,2,true,0.6,1712375899.1,12,9,0,9.0,75.0,1,4141,true,0,-100.0
full-prelude-4-2024-04-06T03:58:11.224Z,testdata/todo2/,false,false,2,true,0.6,1712375891.2,12,9,0,7.2,75.0,0,1985,true,0,nan
full-prelude-4-2024-04-06T03:58:05.648Z,testdata/todo2/,false,false,2,true,0.6,1712375885.7,12,12,0,4.8,100.0,0,1992,true,0,nan
full-prelude-4-2024-04-06T03:57:59.635Z,testdata/todo2/,false,false,2,true,0.6,1712375879.7,12,9,0,5.2,75.0,0,1994,true,0,nan
full-prelude-3-2024-04-04T23:23:21.214Z,testdata/passwords2/,false,false,0,true,0.6,1712273001.2,12,12,0,12.2,100.0,0,2379,true,0,nan
full-prelude-3-2024-04-04T23:23:06.648Z,testdata/passwords2/,false,false,0,true,0.6,1712272986.7,12,12,0,13.7,100.0,0,2387,true,0,nan
full-prelude-3-2024-04-04T23:22:51.171Z,testdata/passwords2/,false,false,0,true,0.6,1712272971.2,12,1,11,14.6,8.3,0,2396,true,9,0.0
full-prelude-3-2024-04-04T23:22:39.963Z,testdata/passwords2/,false,false,0,true,0.6,1712272960.0,12,12,0,10.3,100.0,0,2389,true,0,nan
full-prelude-3-2024-04-04T23:22:32.591Z,testdata/passwords2/,false,false,0,true,0.6,1712272952.6,12,12,0,6.7,100.0,0,2358,true,0,nan
full-prelude-3-2024-04-04T23:22:18.584Z,testdata/passwords2/,false,false,0,true,0.6,1712272938.6,12,1,11,13.3,8.3,0,2397,true,9,0.0
full-prelude-3-2024-04-04T23:22:09.477Z,testdata/passwords2/,false,false,0,true,0.6,1712272929.5,12,1,11,8.4,8.3,0,2405,true,10,0.0
full-prelude-3-2024-04-04T23:21:54.631Z,testdata/passwords2/,false,false,0,true,0.6,1712272914.7,12,12,0,13.9,100.0,0,2377,true,0,nan
full-prelude-3-2024-04-04T23:21:42.171Z,testdata/passwords2/,false,false,0,true,0.6,1712272902.2,12,12,0,11.7,100.0,0,2415,true,0,nan
full-prelude-3-2024-04-04T23:21:26.614Z,testdata/passwords2/,false,false,2,true,0.6,1712272886.6,12,12,0,14.8,100.0,0,2429,true,0,nan
full-prelude-3-2024-04-04T23:21:01.456Z,testdata/passwords2/,false,false,2,true,0.6,1712272861.5,12,12,0,24.3,100.0,1,5202,true,0,-100.0
full-prelude-3-2024-04-04T23:20:52.626Z,testdata/passwords2/,false,false,2,true,0.6,1712272852.6,12,12,0,8.1,100.0,0,2389,true,0,nan
full-prelude-3-2024-04-04T23:20:38.640Z,testdata/passwords2/,false,false,2,true,0.6,1712272838.7,12,12,0,13.2,100.0,0,2430,true,0,nan
full-prelude-3-2024-04-04T23:20:22.628Z,testdata/passwords2/,false,false,2,true,0.6,1712272822.7,12,1,11,15.2,8.3,0,2382,true,0,nan
full-prelude-3-2024-04-04T23:19:54.346Z,testdata/passwords2/,false,false,2,true,0.6,1712272794.4,12,12,0,27.5,100.0,0,2432,true,0,nan
full-prelude-3-2024-04-04T23:19:41.539Z,testdata/passwords2/,false,false,2,true,0.6,1712272781.6,12,12,0,12.1,100.0,0,2384,true,0,nan
full-prelude-3-2024-04-04T23:18:57.608Z,testdata/passwords2/,false,false,2,true,0.6,1712272737.6,12,12,0,43.2,100.0,1,5460,true,0,-100.0
full-prelude-3-2024-04-04T23:18:43.944Z,testdata/passwords2/,false,false,2,true,0.6,1712272724.0,12,12,0,12.8,100.0,0,2401,true,0,nan
full-prelude-3-2024-04-04T23:18:33.436Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272713.5,10,10,0,9.8,100.0,0,2101,true,0,nan
full-prelude-3-2024-04-04T23:18:24.750Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272704.8,10,10,0,7.9,100.0,0,2096,true,0,nan
full-prelude-3-2024-04-04T23:18:14.777Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272694.8,10,10,0,9.3,100.0,0,2110,true,0,nan
full-prelude-3-2024-04-04T23:18:06.293Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272686.3,10,10,0,7.7,100.0,0,2108,true,0,nan
full-prelude-3-2024-04-04T23:18:00.349Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272680.4,10,10,0,5.1,100.0,0,2103,true,0,nan
full-prelude-3-2024-04-04T23:17:51.877Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272671.9,10,10,0,7.8,100.0,0,2107,true,0,nan
full-prelude-3-2024-04-04T23:17:40.707Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272660.7,10,0,10,10.4,0.0,0,2125,true,36,0.0
full-prelude-3-2024-04-04T23:17:31.732Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272651.8,10,10,0,8.2,100.0,0,2095,true,0,nan
full-prelude-3-2024-04-04T23:17:20.131Z,testdata/emojipaint1/,false,false,0,true,0.6,1712272640.2,10,10,0,10.8,100.0,0,2108,true,0,nan
full-prelude-3-2024-04-04T23:17:08.465Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272628.5,10,10,0,10.8,100.0,0,2110,true,0,nan
full-prelude-3-2024-04-04T23:16:52.288Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272612.3,10,10,0,15.4,100.0,0,2121,true,0,nan
full-prelude-3-2024-04-04T23:16:45.339Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272605.4,10,10,0,6.2,100.0,0,2107,true,0,nan
full-prelude-3-2024-04-04T23:16:36.959Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272597.0,10,10,0,7.5,100.0,0,2124,true,0,nan
full-prelude-3-2024-04-04T23:16:08.683Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272568.7,10,10,0,27.5,100.0,2,7585,true,0,-100.0
full-prelude-3-2024-04-04T23:15:56.770Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272556.8,10,10,0,11.2,100.0,0,2107,true,0,nan
full-prelude-3-2024-04-04T23:15:39.386Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272539.4,10,10,0,16.6,100.0,0,2109,true,0,nan
full-prelude-3-2024-04-04T23:15:22.550Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272522.6,10,10,0,16.0,100.0,0,2109,true,0,nan
full-prelude-3-2024-04-04T23:15:09.337Z,testdata/emojipaint1/,false,false,2,true,0.6,1712272509.4,10,10,0,12.3,100.0,0,2107,true,0,nan
full-prelude-3-2024-04-04T23:14:55.112Z,testdata/booking2/,false,false,0,true,0.6,1712272495.1,8,0,8,13.5,0.0,0,2056,true,1,0.0
full-prelude-3-2024-04-04T23:14:44.381Z,testdata/booking2/,false,false,0,true,0.6,1712272484.4,8,0,8,9.9,0.0,0,2050,true,1,0.0
full-prelude-3-2024-04-04T23:14:38.808Z,testdata/booking2/,false,false,0,true,0.6,1712272478.8,8,0,8,4.8,0.0,0,2049,true,1,0.0
full-prelude-3-2024-04-04T23:14:31.860Z,testdata/booking2/,false,false,0,true,0.6,1712272471.9,8,1,7,6.2,12.5,0,2056,true,1,0.0
full-prelude-3-2024-04-04T23:14:19.350Z,testdata/booking2/,false,false,0,true,0.6,1712272459.4,8,2,1,11.7,25.0,0,2083,true,0,nan
full-prelude-3-2024-04-04T23:14:08.479Z,testdata/booking2/,false,false,0,true,0.6,1712272448.5,8,0,8,10.1,0.0,0,2082,true,1,0.0
full-prelude-3-2024-04-04T23:13:54.806Z,testdata/booking2/,false,false,0,true,0.6,1712272434.9,8,1,0,12.8,12.5,0,2106,true,0,nan
full-prelude-3-2024-04-04T23:13:46.861Z,testdata/booking2/,false,false,0,true,0.6,1712272426.9,8,0,8,7.2,0.0,0,2058,true,1,0.0
full-prelude-3-2024-04-04T23:13:38.452Z,testdata/booking2/,false,false,0,true,0.6,1712272418.5,8,0,8,7.7,0.0,0,2049,true,1,0.0
full-prelude-3-2024-04-04T23:12:56.750Z,testdata/booking2/,false,false,2,true,0.6,1712272376.8,8,0,8,35.1,0.0,2,6831,true,1,-66.7
full-prelude-3-2024-04-04T23:12:47.353Z,testdata/booking2/,false,false,2,true,0.6,1712272367.4,8,8,0,8.6,100.0,0,2078,true,0,nan
full-prelude-3-2024-04-04T23:12:34.499Z,testdata/booking2/,false,false,2,true,0.6,1712272354.5,8,1,0,12.1,12.5,0,2098,true,0,nan
full-prelude-3-2024-04-04T23:12:13.814Z,testdata/booking2/,false,false,2,true,0.6,1712272333.8,8,1,0,20.0,12.5,1,4478,true,0,-100.0
full-prelude-3-2024-04-04T23:11:47.009Z,testdata/booking2/,false,false,2,true,0.6,1712272307.0,8,1,7,26.1,12.5,2,7131,true,2,0.0
full-prelude-3-2024-04-04T23:11:31.728Z,testdata/booking2/,false,false,2,true,0.6,1712272291.8,8,1,7,14.5,12.5,0,2083,true,0,nan
full-prelude-3-2024-04-04T23:11:06.546Z,testdata/booking2/,false,false,2,true,0.6,1712272266.6,8,1,0,24.4,12.5,1,4419,true,0,-100.0
full-prelude-3-2024-04-04T23:10:40.986Z,testdata/booking2/,false,false,2,true,0.6,1712272241.0,8,1,0,24.8,12.5,1,4707,true,0,-100.0
full-prelude-3-2024-04-04T23:10:06.139Z,testdata/booking2/,false,false,2,true,0.6,1712272206.2,8,8,0,34.1,100.0,2,6930,true,1,0.0
full-prelude-3-2024-04-04T23:09:58.414Z,testdata/playlist1/,false,false,0,true,0.6,1712272198.4,15,13,0,7.0,86.7,0,1873,true,2,0.0
full-prelude-3-2024-04-04T23:09:49.778Z,testdata/playlist1/,false,false,0,true,0.6,1712272189.8,15,13,0,7.9,86.7,0,1877,true,0,nan
full-prelude-3-2024-04-04T23:09:38.325Z,testdata/playlist1/,false,false,0,true,0.6,1712272178.4,15,0,15,10.6,0.0,0,1872,false,-1,-0.0
full-prelude-3-2024-04-04T23:09:28.460Z,testdata/playlist1/,false,false,0,true,0.6,1712272168.5,15,10,3,9.0,66.7,0,1907,true,1,0.0
full-prelude-3-2024-04-04T23:09:19.021Z,testdata/playlist1/,false,false,0,true,0.6,1712272159.0,15,10,3,8.7,66.7,0,1884,true,1,0.0
full-prelude-3-2024-04-04T23:09:09.771Z,testdata/playlist1/,false,false,0,true,0.6,1712272149.8,15,10,3,8.4,66.7,0,1893,true,1,0.0
full-prelude-3-2024-04-04T23:08:59.632Z,testdata/playlist1/,false,false,0,true,0.6,1712272139.7,15,0,15,9.3,0.0,0,1891,false,-1,-0.0
full-prelude-3-2024-04-04T23:08:49.859Z,testdata/playlist1/,false,false,0,true,0.6,1712272129.9,15,6,7,8.9,40.0,0,1873,true,2,0.0
full-prelude-3-2024-04-04T23:08:40.940Z,testdata/playlist1/,false,false,0,true,0.6,1712272121.0,15,9,4,8.2,60.0,0,1867,true,1,0.0
full-prelude-3-2024-04-04T23:08:14.086Z,testdata/playlist1/,false,false,2,true,0.6,1712272094.1,15,13,0,26.1,86.7,2,6203,true,0,-100.0
full-prelude-3-2024-04-04T23:07:44.145Z,testdata/playlist1/,false,false,2,true,0.6,1712272064.2,15,13,0,29.1,86.7,2,6188,true,0,-100.0
full-prelude-3-2024-04-04T23:07:24.321Z,testdata/playlist1/,false,false,2,true,0.6,1712272044.3,15,9,4,19.0,60.0,2,6180,true,2,100.0
full-prelude-3-2024-04-04T23:07:15.919Z,testdata/playlist1/,false,false,2,true,0.6,1712272035.9,15,13,0,7.7,86.7,0,1875,true,0,nan
full-prelude-3-2024-04-04T23:06:46.281Z,testdata/playlist1/,false,false,2,true,0.6,1712272006.3,15,13,0,28.9,86.7,2,6292,true,0,-100.0
full-prelude-3-2024-04-04T23:06:23.610Z,testdata/playlist1/,false,false,2,true,0.6,1712271983.6,15,13,0,22.0,86.7,1,3937,true,0,-100.0
